year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,7,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",90.00,29.00,12.76,3.06,7.90,0.00,5.28,7.00,0.00,1815.00,925.00,207.00,321.00,0.00,362.00
2024,7,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",85.00,22.00,9.16,1.18,6.77,0.00,4.90,6.00,0.00,2724.00,1880.00,24.00,285.00,0.00,535.00
2024,7,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",175.00,44.00,17.18,2.22,8.78,0.00,15.82,15.00,0.00,3956.00,1553.00,594.00,467.00,0.00,1342.00
2024,7,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",62.00,18.00,5.41,0.00,1.82,0.00,10.77,7.00,0.00,1194.00,478.00,0.00,55.00,0.00,661.00
2024,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1911.00,478.00,104.51,22.10,137.50,0.00,213.88,124.00,13.00,51933.00,15995.00,2013.00,12360.00,0.00,21565.00
2024,7,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",6.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,164.00,0.00,0.00,57.00,0.00,107.00
2024,7,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",9.00,3.00,2.99,0.00,0.01,0.00,0.00,1.00,0.00,448.00,447.00,0.00,1.00,0.00,0.00
2024,7,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",62.00,10.00,3.71,0.00,1.85,0.00,4.43,3.00,1.00,1052.00,557.00,0.00,213.00,0.00,282.00
2024,7,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",34.00,15.00,6.02,0.00,0.58,0.00,8.40,3.00,0.00,1209.00,410.00,0.00,63.00,0.00,736.00
2024,7,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.00,7.00,2.89,0.00,0.90,0.00,3.22,2.00,0.00,506.00,284.00,0.00,50.00,0.00,172.00
2024,7,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",130.00,30.00,9.86,0.65,1.26,0.00,18.22,16.00,0.00,3071.00,1464.00,407.00,157.00,0.00,1043.00
2024,7,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",90.00,21.00,6.85,0.00,7.13,0.00,7.01,11.00,0.00,1537.00,486.00,0.00,391.00,0.00,660.00
2024,7,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",3.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,17.00,0.00,0.00
2024,7,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62.00,18.00,3.91,1.61,4.75,0.00,7.74,3.00,1.00,2510.00,423.00,800.00,360.00,0.00,927.00
2024,7,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",130.00,32.00,10.83,0.76,9.34,0.00,11.06,10.00,0.00,2901.00,1022.00,100.00,474.00,0.00,1305.00
2024,7,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,7,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",19.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,51.00,51.00,0.00,0.00,0.00,0.00
2024,7,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",172.00,39.00,13.58,0.00,12.74,0.00,12.68,17.00,0.00,3254.00,953.00,0.00,1257.00,0.00,1044.00
2024,7,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",134.00,29.00,13.88,0.00,6.18,0.00,8.94,8.00,0.00,2013.00,685.00,0.00,331.00,0.00,997.00
2024,7,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62.00,18.00,0.95,0.00,7.86,0.00,9.19,4.00,0.00,1938.00,170.00,0.00,809.00,0.00,959.00
2024,7,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",88.00,27.00,7.77,0.19,5.66,0.00,13.38,11.00,0.00,2270.00,614.00,29.00,264.00,0.00,1363.00
2024,7,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",99.00,29.00,9.64,1.43,9.66,0.00,8.27,5.00,0.00,2046.00,888.00,68.00,452.00,0.00,638.00
2024,7,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",135.00,30.00,7.59,0.58,7.33,0.00,14.50,13.00,0.00,2438.00,473.00,48.00,411.00,0.00,1506.00
2024,7,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",266.00,66.00,19.02,1.34,20.91,0.00,24.73,25.00,0.00,7252.00,1939.00,540.00,1776.00,0.00,2997.00
2024,7,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",194.00,47.00,16.03,0.72,12.66,0.00,17.59,18.00,0.00,3718.00,1500.00,37.00,745.00,0.00,1436.00
2024,7,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",306.00,98.00,18.24,1.10,39.08,0.00,39.59,30.00,4.00,7912.00,2010.00,76.00,2030.00,0.00,3796.00
2024,7,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",83.00,31.00,10.58,4.18,7.52,0.00,8.72,4.00,0.00,2805.00,1230.00,387.00,465.00,0.00,723.00
2024,7,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",513.00,163.00,35.41,0.88,40.45,0.00,86.27,31.00,0.00,13966.00,3078.00,36.00,2545.00,0.00,8307.00
2024,7,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",62.00,13.00,2.97,0.00,2.17,0.00,7.86,1.00,0.00,1681.00,648.00,0.00,69.00,0.00,964.00
2024,7,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",31.00,14.00,4.28,0.00,4.25,0.00,5.47,5.00,0.00,1332.00,645.00,0.00,300.00,0.00,387.00
2024,7,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",168.00,67.00,19.52,3.48,23.42,0.00,20.57,10.00,0.00,4772.00,1949.00,190.00,1065.00,0.00,1568.00
2024,7,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",48.00,12.00,3.06,0.27,2.82,0.00,5.85,1.00,0.00,918.00,390.00,20.00,113.00,0.00,395.00
2024,7,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",219.00,54.00,18.71,0.81,12.53,0.00,21.95,13.00,2.00,5675.00,2506.00,86.00,1185.00,0.00,1898.00
2024,7,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1065.00,226.00,69.63,8.37,21.69,0.00,126.30,49.00,0.00,21924.00,7896.00,753.00,1204.00,0.00,12071.00
2024,7,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",85.00,28.00,9.75,1.21,4.71,0.00,12.32,4.00,0.00,2664.00,1194.00,72.00,253.00,0.00,1145.00
2024,7,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",132.00,47.00,12.66,0.25,17.67,0.00,16.41,20.00,3.00,4284.00,1129.00,7.00,1601.00,0.00,1547.00
2024,7,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",9.00,5.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,162.00,0.00,0.00,115.00,0.00,47.00
2024,7,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",32.00,10.00,4.32,0.44,2.20,0.00,3.03,2.00,0.00,722.00,352.00,30.00,69.00,0.00,271.00
2024,7,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",8.00,3.00,0.43,0.45,0.19,0.00,1.94,0.00,0.00,275.00,26.00,27.00,11.00,0.00,211.00
2024,7,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",86.00,26.00,4.85,0.00,5.76,0.00,15.39,9.00,0.00,2295.00,401.00,0.00,356.00,0.00,1538.00
2024,7,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",160.00,42.00,15.94,1.00,7.30,0.00,17.76,15.00,0.00,3292.00,1386.00,40.00,492.00,0.00,1374.00
2024,7,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",123.00,41.00,13.27,0.00,9.81,0.00,17.92,9.00,1.00,3779.00,1839.00,0.00,527.00,0.00,1413.00
2024,7,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",62.00,18.00,2.18,0.50,7.36,0.00,7.96,2.00,0.00,1724.00,402.00,44.00,202.00,0.00,1076.00
2024,7,9E,Endeavor Air Inc.,HPN,"White Plains, NY: Westchester County",73.00,18.00,10.16,0.16,2.77,0.00,4.91,5.00,2.00,1212.00,707.00,18.00,163.00,0.00,324.00
2024,7,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,7,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",153.00,46.00,11.29,1.66,17.82,0.00,15.23,12.00,0.00,3014.00,897.00,100.00,836.00,0.00,1181.00
2024,7,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",206.00,61.00,19.28,0.00,15.82,0.00,25.90,11.00,0.00,6754.00,2964.00,0.00,1065.00,0.00,2725.00
2024,7,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",62.00,19.00,7.27,0.00,3.86,0.00,7.87,3.00,0.00,2024.00,1137.00,0.00,153.00,0.00,734.00
2024,7,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",94.00,25.00,7.34,0.00,9.17,0.00,8.48,7.00,0.00,3102.00,1620.00,0.00,437.00,0.00,1045.00
2024,7,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1605.00,415.00,98.05,11.11,136.71,0.00,169.13,147.00,4.00,43748.00,11380.00,1489.00,11363.00,0.00,19516.00
2024,7,9E,Endeavor Air Inc.,LAN,"Lansing, MI: Capital Region International",24.00,7.00,3.76,0.00,0.25,0.00,2.99,1.00,0.00,802.00,312.00,0.00,15.00,0.00,475.00
2024,7,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",32.00,5.00,4.55,0.00,0.00,0.00,0.45,1.00,1.00,452.00,326.00,0.00,0.00,0.00,126.00
2024,7,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",3090.00,762.00,180.89,31.20,242.59,0.00,307.32,316.00,22.00,83782.00,25473.00,3334.00,23631.00,0.00,31344.00
2024,7,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",31.00,14.00,2.61,0.00,5.03,0.00,6.36,1.00,0.00,1489.00,233.00,0.00,407.00,0.00,849.00
